tree_n_15_t_1_r_3,-1,-1,-1,4,-1,-1,-1,1,0.00,0.00,0.00,3.93
tree_n_31_t_1_r_3,-1,-1,-1,22,-1,-1,-1,2,0.00,0.00,0.00,9.20
tree_n_63_t_1_r_3,-1,-1,-1,65,-1,-1,-1,9,0.00,0.00,0.00,27.85
tree_n_15_t_2_r_3,-1,-1,-1,21,-1,-1,-1,2,0.00,0.00,0.00,13.14
tree_n_31_t_2_r_3,-1,-1,-1,65,-1,-1,-1,10,0.00,0.00,0.00,32.77
tree_n_15_t_3_r_3,-1,-1,-1,42,-1,-1,-1,3,0.00,0.00,0.00,12.99
tree_n_15_t_4_r_3,-1,-1,-1,18,-1,-1,-1,19,0.00,0.00,0.00,25.07
K4N4,-1,-1,-1,36,-1,-1,-1,3,0.00,0.00,0.00,8.17
K4N5,-1,-1,-1,49,-1,-1,-1,5,0.00,0.00,0.00,11.61
K4N6,-1,-1,-1,69,-1,-1,-1,5,0.00,0.00,0.00,14.58
K4N7,-1,-1,-1,83,-1,-1,-1,4,0.00,0.00,0.00,17.67
K4N8,-1,-1,-1,92,-1,-1,-1,6,0.00,0.00,0.00,21.42
K5N4,-1,-1,-1,53,-1,-1,-1,4,0.00,0.00,0.00,12.62
K6N4,-1,-1,-1,69,-1,-1,-1,5,0.00,0.00,0.00,14.37
K7N4,-1,-1,-1,96,-1,-1,-1,4,0.00,0.00,0.00,18.21
K8N4,-1,-1,-1,113,-1,-1,-1,5,0.00,0.00,0.00,23.70
