K4N4,45,12,21,36,3,1,1,3,5.09,6.51,6.64,7.59
K4N5,61,17,26,50,4,1,1,5,10.54,11.31,11.68,11.13
K4N6,83,28,44,66,6,1,2,4,11.44,12.15,14.33,13.34
K4N7,99,31,50,76,4,1,2,4,16.20,16.15,17.93,15.78
K4N8,105,33,49,87,5,2,2,6,20.97,22.46,22.93,22.63
K5N4,63,18,31,52,4,1,1,3,12.47,13.46,13.83,13.65
K6N4,84,31,46,75,5,1,2,4,14.53,16.00,15.64,15.16
K7N4,118,38,51,90,4,1,3,5,18.38,19.19,19.83,18.02
K8N4,135,41,60,115,5,2,2,6,22.82,24.53,25.76,24.00
tree_n_15_t_1_r_3,4,0,1,2,0,0,0,0,5.51,6.30,6.41,5.09
tree_n_31_t_1_r_3,29,6,15,23,0,0,0,0,11.54,11.37,11.35,11.02
tree_n_63_t_1_r_3,75,22,40,59,0,0,0,0,24.71,26.22,26.68,25.20
tree_n_15_t_2_r_3,21,4,11,19,0,0,0,0,9.99,10.89,11.52,11.53
tree_n_31_t_2_r_3,68,20,36,58,0,0,0,0,25.28,25.89,27.45,25.56
tree_n_15_t_3_r_3,41,11,21,28,0,0,0,0,16.66,19.02,18.82,17.45
tree_n_31_t_3_r_3,122,37,64,105,0,0,0,0,39.01,40.61,41.63,40.71
tree_n_15_t_4_r_3,61,13,30,50,0,0,0,0,23.35,25.65,27.00,24.30
